,id,name,attack,health,defense
0,43,星辰造化訣,0,50000,0
1,44,陰陽共濟九陰九陽功,0,25000,0
2,45,森羅萬象心法,0,40000,0
3,46,乾坤四象神功,0,30000,0
4,47,日曜月華清心功,0,30000,0
5,48,葵花紫霞玄元功,0,35000,0
6,49,九轉雷法經,0,28000,0
7,50,天罡地煞功,0,25000,0
8,51,九幽天魔誅心神功,0,41000,0
9,52,枯榮青木回春訣,0,45000,0
10,53,萬法經,0,48000,0
11,54,九宮八卦心法,0,49000,0
12,55,天河甘霖一氣功,0,35000,0
13,56,玄冥太玄功,0,27000,0
14,57,元武心法,0,25000,0
15,58,九陰九煞九幽神功,0,46000,0
16,59,柔雲飛仙訣,0,30000,0
17,60,萬獸心法,0,28000,0
18,61,寒冰玄武訣,0,29000,0
19,62,天河雷雨紫陽訣,0,44000,0
20,63,斗轉乾坤玄天功,0,41000,0
21,64,萬字訣,0,36000,0
