,id,name,attack,health,defense
0,133,混元功法,0,1500,0
1,134,吐納法,0,1000,0
2,135,冥想法,0,1000,0
3,136,一氣訣,0,1500,0
4,137,青城心法,0,2000,0
5,138,五岳心法,0,2000,0
6,139,紫霞聖經,0,5000,0
7,140,寒梅功,0,2000,0
8,141,焚火訣,0,3000,0
9,142,烈陽訣,0,3000,0
10,143,黃天經,0,3000,0
11,144,六陽真經,0,4000,0
12,145,清風寶鑑,0,2500,0
13,146,紫陽經,0,2000,0
14,147,天河功,0,1500,0
15,148,雷雨經,0,3000,0
16,149,寒冰真氣,0,4000,0
17,150,風雷心法,0,3500,0
18,151,冰心訣,0,2500,0
19,152,枯木訣,0,2000,0
20,153,回氣訣,0,1000,0
21,154,青陽經,0,1600,0
22,155,青雲心法,0,2000,0
23,156,玄冥心法,0,2000,0
24,157,玄元功,0,3000,0
25,158,烈焰功,0,3000,0
26,159,引雷訣,0,3000,0
27,160,五雷經,0,3000,0
28,161,陰風心法,0,2000,0
29,162,寒風訣,0,1400,0
30,163,雷法功,0,1900,0
31,164,天玄功,0,1800,0
32,165,冥河聖經,0,5000,0
33,166,蠻牛心法,0,3000,0
34,167,厚土訣,0,2000,0
35,168,烈火訣,0,2000,0
36,169,九幽魔經,0,4500,0
37,170,枯木大法,0,3600,0
38,171,無相功,0,4000,0
39,172,玄黃功,0,2500,0
40,173,元河大法,0,4400,0
41,174,赤煉心法,0,3000,0
42,175,五行心法,0,3500,0
43,176,回春功,0,1200,0
44,177,羅漢心法,0,1700,0
45,178,培元功,0,1000,0
46,179,養氣法,0,1000,0
47,180,五毒心法,0,3500,0
48,181,千蛛心法,0,4000,0
49,182,雷法訣,0,3800,0
50,183,百花真經,0,1800,0
51,184,星靈法,0,1200,0
