,id,name,attack,health,defense
0,65,霹靂混元回氣訣,0,10000,0
1,66,達摩心法,0,12000,0
2,67,天魔噬心大法,0,11000,0
3,68,純陽無極神功,0,15000,0
4,69,九陰九陽功,0,20000,0
5,70,陰陽兩儀心法,0,18000,0
6,71,太玄經,0,19500,0
7,72,玄冥九煞真經,0,16000,0
8,73,造化訣,0,14000,0
9,74,大周天星辰功,0,20000,0
10,75,四象心法,0,10000,0
11,76,月華心經,0,10000,0
12,77,紫霞一氣回元功,0,12000,0
13,78,葵花聖典,0,14000,0
14,79,星辰萬化訣,0,20000,0
15,80,枯榮青木訣,0,18000,0
16,81,寒冰天河功,0,17500,0
17,82,羅漢降龍伏魔功,0,16000,0
18,83,冥河幽冥九陰功,0,15000,0
19,84,九煞白虎神功,0,15000,0
20,85,烈焰焚陽聖火功,0,19000,0
21,86,明玉神功,0,12000,0
22,87,鎮岳厚土功,0,11000,0
23,88,冰心靜玉陰煞功,0,12000,0
24,89,無相玄冥功,0,10000,0
25,90,焚天煮海功,0,10000,0
26,91,銀河心法,0,14000,0
27,92,真武心法,0,17000,0
28,93,混元無極神功,0,12000,0
29,94,先天無極功,0,15000,0
