,id,name,attack,health,defense
0,192,五行拳,300,0,0
1,193,羅漢拳,300,0,0
2,194,八卦掌,300,0,0
3,195,清風劍法,300,0,0
4,196,松風快劍,350,0,0
5,197,柔雲劍法,400,0,0
6,198,伏虎刀法,300,0,0
7,199,點穴手,450,0,0
8,200,百戰刀法,400,0,0
9,201,狂風刀法,500,0,0
10,202,鷹爪功,600,0,0
11,203,長拳,500,0,0
12,204,綿掌,500,0,0
13,205,碎玉拳,500,0,0
14,206,鐵指訣,450,0,0
15,207,混元掌,600,0,0
16,208,滿天花雨,700,0,0
17,209,大擒拿手,750,0,0
18,210,擒拿手四十六式,700,0,0
19,211,五虎刀法,400,0,0
20,212,血刀經,500,0,0
21,213,血煞刀法,500,0,0
22,214,劈空掌,350,0,0
23,215,拂穴手,350,0,0
24,216,六陽掌,400,0,0
25,217,雪山掌,400,0,0
26,218,靈蛇拳,400,0,0
27,219,羅漢刀法,350,0,0
28,220,斷魂刀法,400,0,0
29,221,風雷掌,500,0,0
30,222,玄冥掌,500,0,0
31,223,兩儀刀法,600,0,0
32,224,兩儀劍法,600,0,0
33,225,迅雷劍,700,0,0
34,226,截心掌,500,0,0
35,227,陰風刀,700,0,0
36,228,回風柳葉刀,550,0,0
37,229,折梅手,450,0,0
38,230,柳絮劍法,350,0,0
39,231,金剛指法,400,0,0
40,232,青字九打,300,0,0
41,233,段家劍法,300,0,0
42,234,苗家劍法,600,0,0
43,235,七星劍法,700,0,0
44,236,玉女劍十三式,500,0,0
45,237,百花劍,600,0,0
46,238,陰風指,650,0,0
47,239,虎爪手,400,0,0
48,240,落葉掌,350,0,0
49,241,雪山劍法,400,0,0
50,242,砍柴刀法,300,0,0
51,243,大力指法,400,0,0
52,244,追魂劍,600,0,0
53,245,五行劍訣,600,0,0
54,246,鐵掌,400,0,0
55,247,吹火掌,350,0,0
56,248,風卷殘雲,800,0,0
57,249,星火燎原,800,0,0
58,250,玄炎七劍,750,0,0
59,251,一氣劍法,600,0,0
60,252,破浪劍法,600,0,0
61,253,三分劍訣,500,0,0
62,254,孤峰十三劍,450,0,0
63,255,黑岩劍法,350,0,0
64,256,飄雲劍法,400,0,0
65,257,逸塵劍訣,400,0,0
66,258,蛇行劍法,300,0,0
67,259,紫霞劍法,600,0,0
68,260,落日劍法,700,0,0
69,261,慈悲刀經,300,0,0
