,id,name,attack,health,defense
0,81,疾風劍法十八式,2000,0,0
1,82,驚雷劍法,2000,0,0
2,83,五星連環,3100,0,0
3,84,閃電鞭法,2500,0,0
4,85,星辰劍法,2900,0,0
5,86,火焰神刀,2500,0,0
6,87,達摩掌,2400,0,0
7,88,青蓮劍法,2100,0,0
8,89,吟天刀法,2900,0,0
9,90,霸滅絕刀,4000,0,0
10,91,龍冥指,3900,0,0
11,92,真武劍訣,3950,0,0
12,93,百花撩亂神拳,2400,0,0
13,94,混元七星劍,2500,0,0
14,95,純陽劍法,2100,0,0
15,96,百煉刀訣,2500,0,0
16,97,鎮天霸刀經,3400,0,0
17,98,玄元指,3000,0,0
18,99,烈火劍法,2500,0,0
19,100,混元劍氣,2500,0,0
20,101,寒冰劍訣,2500,0,0
21,102,銳金劍經,2500,0,0
22,103,青木神劍,2500,0,0
23,104,厚土重刀訣,2500,0,0
24,105,烈陽箭法,3000,0,0
25,106,冰心劍法,2800,0,0
26,107,荊棘鞭法,2000,0,0
27,108,混元一氣快劍,2600,0,0
28,109,天玄掌,3000,0,0
29,110,幽冥神掌,3900,0,0
30,111,幽冥指,3800,0,0
31,112,翻天印,2700,0,0
32,113,純陽無極劍,3000,0,0
33,114,霹靂神拳,2200,0,0
34,115,山河印,3000,0,0
35,116,雷火劍法,2600,0,0
36,117,奪命十八劍,2600,0,0
37,118,點血截脈手,2500,0,0
38,119,亂風狂劍,2400,0,0
39,120,流雲劍法,3400,0,0
40,121,聚星凡指,3600,0,0
41,122,離恨鬼斬,2500,0,0
42,123,青雷妖掌,2500,0,0
43,124,點血魂拳,2000,0,0
44,125,赤炎地火,3000,0,0
45,126,吸掌,2000,0,0
46,127,魂手印,2000,0,0
47,128,爆炎七絕殺,2800,0,0
48,129,狂殺十訣斬,3000,0,0
49,130,星辰劍氣,3900,0,0
50,131,紫氣掌,2800,0,0
