,id,name,attack,health,defense
0,20,萬劍歸宗,10000,0,0
1,21,一劍隔世,8000,0,0
2,22,爆炎一指,7800,0,0
3,23,日月指,7000,0,0
4,24,一劍照九州,8000,0,0
5,25,造化神掌,8500,0,0
6,26,黃泉掌,9000,0,0
7,27,黃泉幽冥指,9900,0,0
8,28,誅心一劍,7700,0,0
9,29,虛空大滅斬,8400,0,0
10,30,巨靈劍法,8500,0,0
11,31,大荒囚天指,9800,0,0
12,32,星隕神劍,10000,0,0
13,33,天劍逆陽,8000,0,0
14,34,星空九斬,7500,0,0
15,35,九龍冰劍,8000,0,0
16,36,乾坤無極指,9000,0,0
17,37,蒼穹神劍訣,9500,0,0
18,38,狂魔怒焰斬,9600,0,0
19,39,雷殺五靈快劍,9000,0,0
20,40,輪迴大手印,8500,0,0
21,41,彌天掌,8000,0,0
22,42,神霄逆天劍,9800,0,0
