,id,name,attack,health,defense
0,132,混元一氣掌,800,0,0
1,133,羅漢伏魔拳,1000,0,0
2,134,八卦遊龍掌,900,0,0
3,135,金剛伏虎刀,800,0,0
4,136,寒冰棉掌,1500,0,0
5,137,龍爪手,1500,0,0
6,138,五虎斷門刀,1200,0,0
7,139,五毒秘拳,1400,0,0
8,140,蘭花拂穴手,1300,0,0
9,141,截脈掌,1000,0,0
10,142,七星九宮劍訣,1500,0,0
11,143,大力金剛神掌,1900,0,0
12,144,擒拿手九十九式,1800,0,0
13,145,五行神拳,1500,0,0
14,146,大力鷹爪功,1600,0,0
15,147,四十八路大擒拿手,1600,0,0
16,148,分筋錯骨手,1400,0,0
17,149,蘭花指,1000,0,0
18,150,閻王劍法,900,0,0
19,151,霹靂混元掌,1150,0,0
20,152,反兩儀劍法,1200,0,0
21,153,反兩儀刀法,1200,0,0
22,154,雷霆劍法,1500,0,0
23,155,摧心掌,1400,0,0
24,156,般若掌,1600,0,0
25,157,羅漢降魔刀,1200,0,0
26,158,八卦劈空掌,900,0,0
27,159,玄虛劍法,1200,0,0
28,160,玄冥劍法,1300,0,0
29,161,燃木劍法,1300,0,0
30,162,幻虛劍法,1800,0,0
31,163,韋馱劍,2000,0,0
32,164,四象掌,1900,0,0
33,165,陰風綿掌,1600,0,0
34,166,金剛神指,1750,0,0
35,167,幻陰玄指,1800,0,0
36,168,化骨綿掌,1600,0,0
37,169,殭屍拳法,1400,0,0
38,170,迎風斬,1600,0,0
39,171,玄冥白骨爪,1900,0,0
40,172,龍嘯鷹爪功,1600,0,0
41,173,陰陽指法,1550,0,0
42,174,火焰刀法,1450,0,0
43,175,霸拳,900,0,0
44,176,百獸拳法,900,0,0
45,177,風雷槍,800,0,0
46,178,凝血爪,1000,0,0
47,179,崩山拳,850,0,0
48,180,天罡水術,1750,0,0
49,181,風虎九劍,1400,0,0
50,182,凝水箭,1600,0,0
51,183,獸鱗鬼手,800,0,0
52,184,噬虎斬天刀,1900,0,0
53,185,玄霜戰戟,900,0,0
54,186,乾坤鎖法,1500,0,0
55,187,絕峰三劍,1000,0,0
56,188,拿雲捉月,1000,0,0
57,189,松鶴劍法,800,0,0
58,190,閃魂劍法,800,0,0
59,191,驚鴻斬,1200,0,0
