,tablePath
0,DataTable'/Game/StarterContent/Datatable/Weapon/ImmortalWeapon.ImmortalWeapon'
1,DataTable'/Game/StarterContent/Datatable/Weapon/HolyWeapon.HolyWeapon'
2,DataTable'/Game/StarterContent/Datatable/Weapon/SkyWepaon.SkyWepaon'
3,DataTable'/Game/StarterContent/Datatable/Weapon/EarthWeapon.EarthWeapon'
4,DataTable'/Game/StarterContent/Datatable/Weapon/MysteriousWeapon.MysteriousWeapon'
5,DataTable'/Game/StarterContent/Datatable/Weapon/YellowWeapon.YellowWeapon'
6,DataTable'/Game/StarterContent/Datatable/Weapon/HumanWeapon.HumanWeapon'
7,DataTable'/Game/StarterContent/Datatable/Artifact/ImmortalArtifact.ImmortalArtifact'
8,DataTable'/Game/StarterContent/Datatable/Artifact/HolyArtifact.HolyArtifact'
9,DataTable'/Game/StarterContent/Datatable/Artifact/SkyArtifact.SkyArtifact'
10,DataTable'/Game/StarterContent/Datatable/Artifact/EarthArtifact.EarthArtifact'
11,DataTable'/Game/StarterContent/Datatable/Artifact/MysteriousArtifact.MysteriousArtifact'
12,DataTable'/Game/StarterContent/Datatable/Artifact/YellowArtifact.YellowArtifact'
13,DataTable'/Game/StarterContent/Datatable/Artifact/HumanArtifact.HumanArtifact'
14,DataTable'/Game/StarterContent/Datatable/HiddenWeapon/ImmortalHiddenWeapon.ImmortalHiddenWeapon'
15,DataTable'/Game/StarterContent/Datatable/HiddenWeapon/HolyHiddenWeapon.HolyHiddenWeapon'
16,DataTable'/Game/StarterContent/Datatable/HiddenWeapon/SkyHiddenWeapon.SkyHiddenWeapon'
17,DataTable'/Game/StarterContent/Datatable/HiddenWeapon/EarthHiddenWeapon.EarthHiddenWeapon'
18,DataTable'/Game/StarterContent/Datatable/HiddenWeapon/MysteriousHiddenWeapon.MysteriousHiddenWeapon'
19,DataTable'/Game/StarterContent/Datatable/HiddenWeapon/YellowHiddenWeapon.YellowHiddenWeapon'
20,DataTable'/Game/StarterContent/Datatable/HiddenWeapon/HumanHiddenWeapon.HumanHiddenWeapon'
