,path
飛煌石,Texture2D'/Game/StarterContent/Image/Draw/N_08.N_08'
金錢鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_09.N_09'
飛針,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_10.N_10'
銀針,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_01.N_01'
鐵蒺藜,Texture2D'/Game/StarterContent/Image/Draw/Caltrop.Caltrop'
十字鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_06.N_06'
三尖鏢,Texture2D'/Game/StarterContent/Image/Draw/N_01.N_01'
四尖鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_07.N_07'
袖箭,Texture2D'/Game/StarterContent/Image/Draw/N_07.N_07'
疾風鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_04.N_04'
四稜鏢,Texture2D'/Game/StarterContent/Image/Draw/N_04.N_04'
甩手箭,Texture2D'/Game/StarterContent/Image/Draw/N_06.N_06'
六角鏢,Texture2D'/Game/StarterContent/Image/Draw/N_02.N_02'
八方鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_05.N_05'
冰魄銀針,Texture2D'/Game/StarterContent/Image/Draw/N_03.N_03'
卍字鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_08.N_08'
青冥鏢,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_035.w_035'
風雷鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_03.N_03'
玄冥鏢,Texture2D'/Game/StarterContent/Image/UnityAssetStore/Free_6_Weapons/weapons_04.weapons_04'
暴雨梨花針,Texture2D'/Game/StarterContent/Image/Draw/N_05.N_05'
天雷六劫鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_02.N_02'
金龍紋鏢,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_029.w_029'
紫冥天煞鏢,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_019.w_019'
紫幽環刃,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_11.N_11'
六星鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_12.N_12'
雪花鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_13.N_13'
八冥破邪鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_14.N_14'
破厄六玄鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_15.N_15'
迅雷鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_16.N_16'
金針,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_17.N_17'
冥河血屠鏢,Texture2D'/Game/StarterContent/Image/ac_illust_com/N_18.N_18'
