,path
短劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_001.w_001'
黑鐵劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_002.w_002'
淬銀劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_003.w_003'
黑影劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_004.w_004'
落月劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_005.w_005'
寒鐵劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_006.w_006'
裂心劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_007.w_007'
鋸齒劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_008.w_008'
銀月劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_009.w_009'
大刀,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_010.w_010'
寬劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_011.w_011'
紫鋒劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_012.w_012'
青龍匕,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_013.w_013'
寬刃刀,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_014.w_014'
巨靈刀,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_015.w_015'
鑽心刺,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_016.w_016'
圓月彎刀,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_017.w_017'
六陽劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_018.w_018'
青鋒巨刃,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_020.w_020'
砍柴斧,Texture2D'/Game/StarterContent/Image/UnityAssetStore/Basic_RPG_Icons/03_Greataxe_nobg.03_Greataxe_nobg'
長劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/Basic_RPG_Icons/09_Longsword_nobg.09_Longsword_nobg'
玄冥劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_021.w_021'
金銀劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_022.w_022'
中空玄劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_026.w_026'
血煞斧,Texture2D'/Game/StarterContent/Image/UnityAssetStore/RPG_icons/Ax_1.Ax_1'
藍寒月斧,Texture2D'/Game/StarterContent/Image/UnityAssetStore/RPG_icons/Ax_3.Ax_3'
雌雄雙冥劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_023.w_023'
龍冥巨劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_024.w_024'
青玉龍鋼劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_025.w_025'
寒冰幽冥刺,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_027.w_027'
金精素心匕,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_028.w_028'
紫幽隱煞刃,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_030.w_030'
玄金龍銀劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_031.w_031'
金晶狂風快劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_032.w_032'
烈火龍血劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_033.w_033'
九幽紫冥劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_034.w_034'
龍冥古劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_036.w_036'
深海寒冰玄鐵劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_037.w_037'
青玉荊棘劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_038.w_038'
